Season,Name,Team,,WAR,DOL,NameASCII,PlayerId,MLBAMID
2024,Aaron Judge,NYY,,11.18378976,89.47031805,Aaron Judge,15640,592450
2022,Aaron Judge,NYY,,11.0787752,88.63020158,Aaron Judge,15640,592450
2024,Bobby Witt Jr.,KCR,,10.37692646,83.01541172,Bobby Witt Jr.,25764,677951
2018,Mookie Betts,BOS,,10.16285888,81.30287104,Mookie Betts,13611,605141
2018,Mike Trout,LAA,,9.450435925,75.6034874,Mike Trout,10155,545361
2015,Bryce Harper,WSN,,9.315669546,74.52535637,Bryce Harper,11579,547180
2015,Mike Trout,LAA,,9.299005022,74.39204017,Mike Trout,10155,545361
2024,Shohei Ohtani,LAD,,9.073679339,72.58943471,Shohei Ohtani,19755,660271
2023,Ronald Acuña Jr.,ATL,,9.067809097,72.54247277,Ronald Acuna Jr.,18401,660670
2017,Aaron Judge,NYY,,8.746304689,69.97043751,Aaron Judge,15640,592450
2015,Josh Donaldson,TOR,,8.710970166,69.68776133,Josh Donaldson,5038,518626
2016,Mike Trout,LAA,,8.696752968,69.57402374,Mike Trout,10155,545361
2019,Alex Bregman,HOU,,8.326347292,66.61077833,Alex Bregman,17678,608324
2024,Juan Soto,NYY,,8.146930518,65.17544414,Juan Soto,20123,665742
2024,Gunnar Henderson,BAL,,8.021244434,64.16995547,Gunnar Henderson,26289,683002
2018,Alex Bregman,HOU,,7.888608223,63.10886578,Alex Bregman,17678,608324
2019,Cody Bellinger,LAD,,7.838108688,62.7048695,Cody Bellinger,15998,641355
2023,Freddie Freeman,LAD,,7.823649732,62.58919785,Freddie Freeman,5361,518692
2018,Francisco Lindor,CLE,,7.788686004,62.30948803,Francisco Lindor,12916,596019
2019,Mike Trout,LAA,,7.774021875,62.192175,Mike Trout,10155,545361
2024,Francisco Lindor,NYM,,7.76770018,62.14160144,Francisco Lindor,12916,596019
2023,Mookie Betts,LAD,,7.700992691,61.60794152,Mookie Betts,13611,605141
2017,Jose Altuve,HOU,,7.697290377,61.57832302,Jose Altuve,5417,514888
2018,Christian Yelich,MIL,,7.686282457,61.49025965,Christian Yelich,11477,592885
2018,José Ramírez,CLE,,7.615276193,60.92220954,Jose Ramirez,13510,608070
2016,Kris Bryant,CHC,,7.492658209,59.94126567,Kris Bryant,15429,592178
2016,Mookie Betts,BOS,,7.371184353,58.96947482,Mookie Betts,13611,605141
2015,Joey Votto,CIN,,7.253964079,58.03171263,Joey Votto,4314,458015
2018,Manny Machado,- - -,,7.246013574,57.96810859,Manny Machado,11493,592518
2015,Paul Goldschmidt,ARI,,7.229978167,57.83982533,Paul Goldschmidt,9218,502671
2022,Nolan Arenado,STL,,7.209557583,57.67646066,Nolan Arenado,9777,571448
2016,Jose Altuve,HOU,,7.183278805,57.46623044,Jose Altuve,5417,514888
2021,Trea Turner,- - -,,7.131068224,57.04854579,Trea Turner,16252,607208
2022,Manny Machado,SDP,,7.124031104,56.99224883,Manny Machado,11493,592518
2017,José Ramírez,CLE,,6.989452524,55.91562019,Jose Ramirez,13510,608070
2017,Kris Bryant,CHC,,6.98641969,55.89135752,Kris Bryant,15429,592178
2022,Jose Altuve,HOU,,6.847728202,54.78182562,Jose Altuve,5417,514888
2022,Paul Goldschmidt,STL,,6.83208493,54.65667944,Paul Goldschmidt,9218,502671
2021,Fernando Tatis Jr.,SDP,,6.804382268,54.43505814,Fernando Tatis Jr.,19709,665487
2016,Josh Donaldson,TOR,,6.793767879,54.35014303,Josh Donaldson,5038,518626
2021,Juan Soto,WSN,,6.787155634,54.29724507,Juan Soto,20123,665742
2019,Anthony Rendon,WSN,,6.772477113,54.17981691,Anthony Rendon,12861,543685
2015,Buster Posey,SFG,,6.772103661,54.17682929,Buster Posey,9166,457763
2015,AJ Pollock,ARI,,6.768881649,54.15105319,AJ Pollock,9256,572041
2017,Mike Trout,LAA,,6.768269552,54.14615642,Mike Trout,10155,545361
2022,Freddie Freeman,LAD,,6.754702498,54.03761999,Freddie Freeman,5361,518692
2016,Buster Posey,SFG,,6.669738228,53.35790582,Buster Posey,9166,457763
2024,Jarren Duran,BOS,,6.667162163,53.3372973,Jarren Duran,24617,680776
2022,J.T. Realmuto,PHI,,6.654118297,53.23294638,J.T. Realmuto,11739,592663
2021,Bryce Harper,PHI,,6.645345326,53.1627626,Bryce Harper,11579,547180
2022,Dansby Swanson,ATL,,6.637041252,53.09633001,Dansby Swanson,18314,621020
2023,Matt Olson,ATL,,6.599811959,52.79849567,Matt Olson,14344,621566
2015,Manny Machado,BAL,,6.594378895,52.75503116,Manny Machado,11493,592518
2016,Brian Dozier,MIN,,6.569775887,52.5582071,Brian Dozier,9810,572821
2019,Christian Yelich,MIL,,6.562069014,52.49655212,Christian Yelich,11477,592885
2023,Shohei Ohtani,LAA,,6.541643535,52.33314828,Shohei Ohtani,19755,660271
2019,Marcus Semien,OAK,,6.487132901,51.89706321,Marcus Semien,12533,543760
2019,Rafael Devers,BOS,,6.457007398,51.65605918,Rafael Devers,17350,646240
2024,José Ramírez,CLE,,6.454358977,51.63487182,Jose Ramirez,13510,608070
2021,José Ramírez,CLE,,6.437034399,51.49627519,Jose Ramirez,13510,608070
2016,Freddie Freeman,ATL,,6.435546209,51.48436968,Freddie Freeman,5361,518692
2024,Elly De La Cruz,CIN,,6.428642098,51.42913679,Elly De La Cruz,26668,682829
2016,Robinson Canó,SEA,,6.385228031,51.08182425,Robinson Cano,3269,429664
2022,Trea Turner,LAD,,6.378093687,51.02474949,Trea Turner,16252,607208
2018,Matt Chapman,OAK,,6.372085888,50.97668711,Matt Chapman,16505,656305
